,name,image,acreage,price,region,tags,scrape_date
200,Seaside Escape,https://www.privateislandsonline.com/uploads/resize/_2852_5fa3126581952.jpg-1074-822.jpg,1,4250000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
201,Montego Caye,https://www.privateislandsonline.com/uploads/resize/_1840_5877bbbde40ca.jpg-1074-822.jpg,119,4250000.0,"Belize, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
203,Hideaway Island Resort and Marine Sanctuary,https://www.privateislandsonline.com/uploads/resize/_3084_62fc0e1c2ddbf.jpg-1074-822.jpg,5,4200000.0,"Vanuatu, South Pacific","Islands with Beaches,Income Producing,Ocean Island,Turn Key,Income Potential",2023-02-19
205,82.5 Acres Near Blue Hole,https://www.privateislandsonline.com/uploads/resize/_2860_5fce820af0d98.JPG-1074-822.JPG,83,4000000.0,"Belize, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
206,Monroe Island,https://www.privateislandsonline.com/uploads/resize/_1869_5e87c4393bd45.jpg-1074-822.jpg,160,4000000.0,"Philippines, Asia","Large Acreage,River Island",2023-02-19
209,Koome Island,https://www.privateislandsonline.com/uploads/resize/_893_image_007f644c8d.jpg-1074-822.jpg,3053,4000000.0,"Uganda, Africa","Large Acreage,Lake Island",2023-02-19
211,Four Islands in Panama,https://www.privateislandsonline.com/uploads/resize/_688_58759299c5b81.jpg-1074-822.jpg,45,4000000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
214,Puenta Vieja Parcel,https://www.privateislandsonline.com/uploads/resize/_2324_5a0332aa36eb5.jpg-1074-822.jpg,30,3988000.0,"Panama, Central America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
215,Cary Caye,https://www.privateislandsonline.com/uploads/resize/_3095_634077fece22a.jpg-1074-822.jpg,12,3900000.0,"Belize, Central America","Islands with Beaches,Ocean Island",2023-02-19
216,Isla Tortuga,https://www.privateislandsonline.com/uploads/resize/_3132_63c038efd4c35.jpg-1074-822.jpg,7,3900000.0,"Mexico, Central America","Islands with Beaches,Ocean Island",2023-02-19
217,Florida Keys Island,https://www.privateislandsonline.com/uploads/resize/_700_image_0b7bbaac76.jpg-1074-822.jpg,15,3900000.0,"Florida, United States",Ocean Island,2023-02-19
221,Nuku Resort,https://www.privateislandsonline.com/uploads/resize/_2872_6018565522053.jpg-1074-822.jpg,25,3750000.0,"Fiji, South Pacific","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2023-02-19
223,Kingston Key,https://www.privateislandsonline.com/uploads/resize/_3054_62aa331b067c5.JPG-1074-822.JPG,12,3750000.0,"South Carolina, United States","Islands with Beaches,Ocean Island",2023-02-19
225,Soneva Fushi,https://www.privateislandsonline.com/uploads/resize/_2314_59e1263377b67.jpg-1074-822.jpg,1,3680000.0,"Maldives, Asia","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
226,Villa Innocence,https://www.privateislandsonline.com/uploads/resize/_2834_5f7b75d586181.jpg-1074-822.jpg,,3500000.0,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
227,Little Goat Island,https://www.privateislandsonline.com/uploads/resize/_2225_59120d2b22949.jpg-1074-822.jpg,390,3500000.0,"South Carolina, United States","Large Acreage,Ocean Island",2023-02-19
228,Isla Bonita,https://www.privateislandsonline.com/uploads/resize/_1980_5cdaf975444fc.jpg-1074-822.jpg,20,3500000.0,"Brazil, South America","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
230,Whitestone Island,https://www.privateislandsonline.com/uploads/resize/_1548_image_cbb0871e3b.jpg-1074-822.jpg,6,5500000.0,"British Columbia, Canada","Ocean Island,Turn Key,Income Potential",2023-02-19
231,Cotton Island,https://www.privateislandsonline.com/uploads/resize/_3123_63b72460e9792.jpg-1074-822.jpg,3,3400000.0,"Florida, United States","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2023-02-19
233,Fazenda Cipo Island,https://www.privateislandsonline.com/uploads/resize/_2439_5b4cb8aec8366.jpg-1074-822.jpg,25,3000000.0,"Brazil, South America","Islands with Beaches,Large Acreage,Ocean Island",2023-02-19
234,Lihnari Peninsula,https://www.privateislandsonline.com/uploads/resize/_495_image_4bf9bf63cc.jpg-1074-822.jpg,95,3000000.0,"Greece, Europe","Large Acreage,Ocean Island",2023-02-19
